,conductivity_mS_cm,first_cycle_loss_Ah,cycle_life_80
0,5,0.0010870182023072772,948.1267135958185
1,7,0.001061685005847579,970.7502602899112
2,9,0.0010476558549550319,983.7495690000899
3,11,0.0010388136149774851,992.1231113194168
4,13,0.0010327259245626053,997.9714571501057
5,15,0.0010282400017525006,1002.3253267873819
6,17,0.0010248623425699321,1005.6287102793101
7,19,0.0010221641092353906,1008.2832946887328
8,21,0.0010199857151018676,1010.4366958408849
9,23,0.0010182179567008731,1012.1909449640622
10,25,0.001016695193675865,1013.7069617160118
